taxonID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,occurrenceRemarks
OSRO0QVXTESXC0LB0O,Romania,RO,present,introduced,casual,agriculture,1816/2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Baumgarten JChG (1816) Enumeratio Stirpium Magno Transsilvaniae Principatui, I-III, Vindobonae",
OSRO0R96ZHV6BE5EVT,Romania,RO,present,introduced,casual,ornamentalNonHorticulture,1952/2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Anastasiu P, Sarbu I, Negrean G (2009) Verbesina encelioides-A new alien plant in Romania. Annals of the University of Craiova-Agriculture, Montanology, Cadastre Series, 39(2), 15-18",
OSRO0ZZO54RBZHH1OM,Romania,RO,present,introduced,established,ornamentalNonHorticulture,2016/2021,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Sirbu C, Oprea A (2017) Notes on the genus Oenothera, section Oenothera, subsection Oenothera in Romania. Acta Horti Botanici Bucurestiensis 44: 33-56. https://doi.org/10.1515/ahbb-2017-0003 | Blackburn TM, Pysek P, Bacher S, Carlton JT, Duncan RP, Jarosik V, Wilson JRU, Richardson DM (2011) A proposed unified framework for biological invasions. Trends in Ecology and Evolution 26: 333–339. https://doi.org/10.1016/j.tree.2011.03.023",
OSRO16JA99ZZHD9Z8C,Romania,RO,present,introduced,invasive,naturalDispersal,1816/2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Baumgarten JChG (1816) Enumeratio Stirpium Magno Transsilvaniae Principatui, I-III, Vindobonae",
OSRO16TT85BD3JSWDY,Romania,RO,present,introduced,casual,forestry,1960/2025,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Anastasiu P, Camen-Comanescu P, Sirbu I-M, Urziceanu M (2024) Urban flora: new reports for Bucharest's flora. Acta Horti Botanici Bucurestiensis 50(1): 41-58. https://doi.org/10.62229/ahbb.2024.50/3 | Sirbu C, Oprea A (2011) Plante adventive in flora Romaniei. Editura Ion Ionescu de la Brad, Iasi | Dumitriu-Tataranu I (1960) Arbori si arbusti forestieri si ornamentali cultivati in R.P.R. Editura Agro-Silvica, Bucuresti | Blackburn TM, Pysek P, Bacher S, Carlton JT, Duncan RP, Jarosik V, Wilson JRU, Richardson DM (2011) A proposed unified framework for biological invasions. Trends in Ecology and Evolution 26: 333–339. https://doi.org/10.1016/j.tree.2011.03.023 | Plants of the World Online (2026) https://powo.science.kew.org/",
OSRO16TT85BD3JSWDY,Romania,RO,present,introduced,casual,horticulture,1960/2025,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Anastasiu P, Camen-Comanescu P, Sirbu I-M, Urziceanu M (2024) Urban flora: new reports for Bucharest's flora. Acta Horti Botanici Bucurestiensis 50(1): 41-58. https://doi.org/10.62229/ahbb.2024.50/3 | Sirbu C, Oprea A (2011) Plante adventive in flora Romaniei. Editura Ion Ionescu de la Brad, Iasi | Dumitriu-Tataranu I (1960) Arbori si arbusti forestieri si ornamentali cultivati in R.P.R. Editura Agro-Silvica, Bucuresti | Blackburn TM, Pysek P, Bacher S, Carlton JT, Duncan RP, Jarosik V, Wilson JRU, Richardson DM (2011) A proposed unified framework for biological invasions. Trends in Ecology and Evolution 26: 333–339. https://doi.org/10.1016/j.tree.2011.03.023 | Plants of the World Online (2026) https://powo.science.kew.org/",
OSRO16TT85BD3JSWDY,Romania,RO,present,introduced,casual,naturalDispersal,1960/2025,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Anastasiu P, Camen-Comanescu P, Sirbu I-M, Urziceanu M (2024) Urban flora: new reports for Bucharest's flora. Acta Horti Botanici Bucurestiensis 50(1): 41-58. https://doi.org/10.62229/ahbb.2024.50/3 | Sirbu C, Oprea A (2011) Plante adventive in flora Romaniei. Editura Ion Ionescu de la Brad, Iasi | Dumitriu-Tataranu I (1960) Arbori si arbusti forestieri si ornamentali cultivati in R.P.R. Editura Agro-Silvica, Bucuresti | Blackburn TM, Pysek P, Bacher S, Carlton JT, Duncan RP, Jarosik V, Wilson JRU, Richardson DM (2011) A proposed unified framework for biological invasions. Trends in Ecology and Evolution 26: 333–339. https://doi.org/10.1016/j.tree.2011.03.023 | Plants of the World Online (2026) https://powo.science.kew.org/",
OSRO179BY8PHSNN8QN,Romania,RO,present,introduced,established,ornamentalNonHorticulture,1866/2025,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Sirbu C, Oprea A (2011) Plante adventive in flora Romaniei. Editura Ion Ionescu de la Brad, Iasi, Romania, 734 pp | https://www.inaturalist.org/observations/308268072 | Blackburn TM, Pysek P, Bacher S, Carlton JT, Duncan RP, Jarosik V, Wilson JR, Richardson DM (2011) A proposed unified framework for biological invasions. Trends in Ecology and Evolution 26: 333-339. https://doi.org/10.1016/j.tree.2011.03.023",
OSRO19WADEXPSP4CH6,Romania,RO,present,introduced,established,naturalDispersal,1844/2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Sirbu C, Oprea A (2013) A new Contribution on the Vascular Flora of Romania. Acta Horti Botanici Bucurestiensis 40: 19-26. https://doi.org/10.2478/ahbb-2013-0002 | Simonkai L (1886) Erdely edenyes florajanak helyesbitett foglalata (Enumeratio florae Transsilvaniae vesculosae critica). Kiadja A Kir. Magyar Termeszettudomanyi Tarsulat, Budapest.'",
OSRO1HKBE5V1TRSI5J,Romania,RO,present,introduced,casual,,1816/2020,"Baumgarten JChG (1816) Enumeratio Stirpium Magno Transsilvaniae Principatui, I-III, Vindobonae",
OSRO1L1CBAAQC8NB4F,Romania,RO,present,introduced,casual,ornamentalNonHorticulture,2021/2024,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Anastasiu P, Camen-Comanescu P, Sirbu I-M, Urziceanu M (2024) Urban flora: new reports for Bucharest's flora. Acta Horti Botanici Bucurestiensis 50(1). https://doi.org/10.62229/ahbb.2024.50/3 | Blackburn TM, Pysek P, Bacher S, Carlton JT, Duncan RP, Jarosik V, Wilson JRU, Richardson DM (2011) A proposed unified framework for biological invasions. Trends in Ecology and Evolution 26: 333–339. https://doi.org/10.1016/j.tree.2011.03.023 | Plants of the World Online (2026) https://powo.science.kew.org/",
OSRO1RQQOU7R8UW4JR,Romania,RO,present,introduced,casual,ornamentalNonHorticulture,2011/2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Sirbu C, Oprea A (2011) Plante adventive in flora Romaniei. Iasi: Edit. Ion Ionescu de la Brad",
